Directory,File,Validation,Id,Id_avant validation,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Opérateur,Site,Machine,Projet,Habitat1,Habitat2
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_053700_000.wav,P. Nyssen,Nyclei,ENVsp,Main,ENVsp,10,Vesmur,5,2015,8,3,5,37,3/08/2015,5:37,2/08/2015,SM2-BXL,26,27,213,9,3,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_053843_809.wav,P. Nyssen,Nyclei,ENVsp,Main,ENVsp,10,Nyclei,2,2015,8,3,5,38,3/08/2015,5:38,2/08/2015,SM2-BXL,22,26,216,8,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_053848_809.wav,P. Nyssen,Nyclei,ENVsp,Main,ENVsp,10,Vesmur,3,2015,8,3,5,38,3/08/2015,5:38,2/08/2015,SM2-BXL,30,27,143,10,3,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_053903_809.wav,P. Nyssen,Nyclei,ENVsp,Main,ENVsp,10,Vesmur,5,2015,8,3,5,39,3/08/2015,5:39,2/08/2015,SM2-BXL,23,26,231,10,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_053952_785.wav,P. Nyssen,Nyclei,ENVsp,Main,ENVsp,10,Vesmur,3,2015,8,3,5,39,3/08/2015,5:39,2/08/2015,SM2-BXL,35,28,114,10,6,8,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_053957_785.wav,P. Nyssen,Nyclei,ENVsp,Main,ENVsp,10,Vesmur,4,2015,8,3,5,39,3/08/2015,5:39,2/08/2015,SM2-BXL,24,27,203,10,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_224300_000.wav,P. Nyssen,ChiroSp,ChiroSp,Main,Myosp,1,Myomyo,1,2015,8,3,22,43,3/08/2015,22:43,3/08/2015,SM2-BXL,10,32,0,5,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_225035_000.wav,P. Nyssen,Plesp,Plesp,Main,Plesp,8,Pleaus,3,2015,8,3,22,50,3/08/2015,22:50,3/08/2015,SM2-BXL,15,30,103,6,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_225040_000.wav,P. Nyssen,Pleaur,Plesp,Main,Plesp,10,Pleaur,5,2015,8,3,22,50,3/08/2015,22:50,3/08/2015,SM2-BXL,41,30,109,6,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_225045_000.wav,P. Nyssen,Plesp,Plesp,Main,Plesp,8,Pleaus,2,2015,8,3,22,50,3/08/2015,22:50,3/08/2015,SM2-BXL,6,29,115,5,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
