Dossier,Fichier,Id_avant validation,Id,Validation,Contact,Groupe,IGp,Espece,ISp,Annee,Mois,Jour,Heure,Minute,Date,Temps,Date_nuit,Lieu,NbCris,Fdom,IntMed,Iqual,Ics,Ibuz,site,N° appareil
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980394_20170920_00000_000.wav,ChiroSp,ChiroSp,,Principal,Pip50,0,PippiT,0,2017,9,20,-,-,20/09/2017,-,-,-,1,48,646,5,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980404_20170920_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,20,-,-,20/09/2017,-,-,-,2,45,0,5,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980408_20170920_00000_000.wav,ChiroSp,ChiroSp,,Principal,Pip50,4,PippiT,4,2017,9,20,-,-,20/09/2017,-,-,-,3,47,0,6,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980410_20170920_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,20,-,-,20/09/2017,-,-,-,2,46,0,5,1,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980423_20170920_00000_000.wav,ChiroSp,Myosp,C. Brabant,Principal,Myosp,1,Myobra,1,2017,9,20,-,-,20/09/2017,-,-,-,6,45,57,2,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980624_20170919_00000_000.wav,ChiroSp,parasi,C. Brabant,Principal,Myosp,1,Myomys,1,2017,9,19,-,-,19/09/2017,-,-,-,1,40,0,4,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980638_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,7,PippiT,7,2017,9,19,-,-,19/09/2017,-,-,-,4,46,4,4,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980643_20170919_00000_000.wav,ChiroSp,ChiroSp,,Principal,Pip50,5,PippiT,5,2017,9,19,-,-,19/09/2017,-,-,-,2,45,0,5,2,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980646_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,7,PippiT,7,2017,9,19,-,-,19/09/2017,-,-,-,2,47,0,4,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980729_20170919_00000_000.wav,ChiroSp,ChiroSp,,Principal,Pip35,4,Pipnat,0,2017,9,19,-,-,19/09/2017,-,-,-,2,40,0,3,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980824_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,2,47,0,5,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980856_20170919_00000_000.wav,Pipnat,Pipnat,,Principal,Pip35,8,Pipnat,6,2017,9,19,-,-,19/09/2017,-,-,-,8,40,162,7,4,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22980885_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,1,44,229,7,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981005_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,2,46,0,5,1,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981018_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,7,46,0,5,1,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981032_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,8,PippiT,6,2017,9,19,-,-,19/09/2017,-,-,-,2,43,0,4,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981107_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,3,45,0,4,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981124_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,3,45,0,6,1,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981270_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,9,PippiT,9,2017,9,19,-,-,19/09/2017,-,-,-,2,44,273,5,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981358_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,6,47,0,5,1,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981486_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,20,47,86,6,0,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20171009_BL_Ukkel_802/WAV/,22981496_20170919_00000_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2017,9,19,-,-,19/09/2017,-,-,-,2,45,0,3,0,0,1) abri animaux,18802
